gene_name,dN,dS,omega
SLI_RS08990,0.0023,0.0032,0.71322
SLI_RS08995,0.0046,0.002,2.29665
SLI_RS09000,0.0053,0.002,2.66434
SLI_RS09005,0,0.1105,0
SLI_RS09010,0.0036,0,NA
SLI_RS09015,0,0.0365,0
SLI_RS09020,0,0,0
SLI_RS09025,0.0037,0.0014,2.65793
SLI_RS09035,0.0015,0,NA
SLI_RS09040,0,0.004,0
SLI_RS09045,0.00275,0,NA
SLI_RS09060,0.0073,0.0055,1.33147
SLI_RS09065,0.0051,0.00425,NA
SLI_RS09070,0,0.0105,0
SLI_RS09075,0,0,0
SLI_RS09090,0,0.0414,0
SLI_RS09100,0,0.0199,0
SLI_RS09110,0,0.0318,0
SLI_RS09115,0.0015,0.0215,0.0679
SLI_RS09120,0,0,0
SLI_RS09125,0.0056,0,NA
SLI_RS09135,0.0056,0.0049,1.13121
SLI_RS09150,0.0035,0.0029,1.18233
SLI_RS09160,0.0053,0,NA
SLI_RS09170,0,0.0041,0
SLI_RS09175,0.0039,0.0101,0.38521
SLI_RS09180,0.0084,0.0085,0.99115
SLI_RS09185,0,0.0332,0
SLI_RS09190,0.0271,0.0161,1.68607
SLI_RS09195,0.0018,0.0137,0.13455
SLI_RS09205,0.0014,0,NA
SLI_RS09210,0,0.006,0
SLI_RS09215,0.0023,0.0252,0.09144
SLI_RS09220,0.0026,0,NA
SLI_RS09225,0.0046,0,NA
SLI_RS09230,0,0,0
SLI_RS09235,0.0011,0.0082,0.13247
SLI_RS09240,0,0.026,0
SLI_RS09245,0.0027,0.024,0.11196
SLI_RS09255,0.0015,0.0238,0.06435
SLI_RS09260,0.0017,0,NA
SLI_RS09270,0.0009,0,NA
SLI_RS09275,0.00493333333333333,0.0046,NA
SLI_RS09280,0.0037,0.0769,0.04772
SLI_RS09290,0.0008,0.1584,0.00488
SLI_RS09300,0.0014,0.0269,0.05198
SLI_RS09320,0.0007,0,NA
SLI_RS09325,0,0.0396,0
SLI_RS09330,0,0.0256,0
SLI_RS09335,0,0.0226,0
SLI_RS09340,0,0.0198,0
SLI_RS09345,0.0006,0.0994,0.00614
SLI_RS09350,0,0.066,0
SLI_RS09360,0.0018,0,NA
SLI_RS09375,0.0041,0.0309,0.1422
SLI_RS09390,0.0038,0,NA
SLI_RS09395,0.0005,0,NA
SLI_RS09400,0,0.0026,0
SLI_RS09405,0.006,0,NA
SLI_RS09410,0,0,0
SLI_RS09415,0,0,0
SLI_RS09430,0,0.0239,0
SLI_RS09445,0.0038,0.06625,NA
SLI_RS09460,0.0032,0,NA
SLI_RS09470,0,0,0
SLI_RS09475,0,0.05725,0
SLI_RS09480,0,0.0343666666666667,0
SLI_RS09485,0,0,0
SLI_RS09495,0,0.034,0
SLI_RS09500,0,0,0
SLI_RS09505,0,0,0
SLI_RS09510,0,0,0
SLI_RS09515,0,0,0
SLI_RS09520,0,0,0
SLI_RS09530,0,0,0
SLI_RS09535,0.0015,0,NA
SLI_RS09540,0.0041,0.0121,NA
SLI_RS09545,0.001,0.0086,0.1189
SLI_RS09555,0,0.0172,0
SLI_RS09565,0.0008,0,NA
SLI_RS09580,0,0,0
SLI_RS09590,0.0044,0,NA
SLI_RS09595,0.0041,0,NA
SLI_RS09605,0.002,0.0036,0.55269
SLI_RS09610,0.0017,0.0543,0.03079
SLI_RS09620,0,0.0478,0
SLI_RS09625,0.0036,0.01,0.36287
SLI_RS09630,0,0,0
SLI_RS09640,0.0007,0.0068,0.10389
SLI_RS09660,0.0012,0.0171,0.12804
SLI_RS09670,0.0015,0.0311,0.0484
SLI_RS09675,0.0015,0,NA
SLI_RS09680,0,0.0038,0
SLI_RS09685,0.0092,0.004,2.31633
SLI_RS09700,0.0003,0.0528,0.00654
SLI_RS09710,0,0,0
SLI_RS09715,0,0,0
SLI_RS09720,0,0,0
SLI_RS09725,0,0,0
SLI_RS09730,0,0.0104,0
SLI_RS09750,0,0,0
SLI_RS09760,0.0005,0.0383,0.01305
SLI_RS09775,0,0.0048,0
SLI_RS09780,0.00135,0,NA
SLI_RS09785,0,0,0
SLI_RS09795,0,0,0
SLI_RS09800,0,0,0
SLI_RS09805,0,0,0
SLI_RS09815,0.0008,0.0239,0.03262
SLI_RS09825,0.0071,0.0148,0.47916
SLI_RS09830,0.0031,0,NA
SLI_RS09835,0.0073,0,NA
SLI_RS09845,0.0011,0.0233,0.04884
SLI_RS09850,0.00135,0.01855,NA
SLI_RS09855,0.0023,0.0608,0.03798
SLI_RS09860,0,0,0
SLI_RS09865,0,0.0108,0
SLI_RS09875,0,0.007,0
SLI_RS09890,0,0.0112,0
SLI_RS09900,0,0.0147,0
SLI_RS09920,0.0007,0.0025,0.27026
SLI_RS09925,0,0,0
SLI_RS09935,0.0027,0,NA
SLI_RS09950,0,0.0046,0
SLI_RS09955,0.0014,0,NA
SLI_RS09960,0.00473333333333333,0.0028,NA
SLI_RS09965,0.0015,0.0096,0.15822
SLI_RS09970,0.0044,0.0015,2.85672
SLI_RS10005,0,0,0
SLI_RS10010,0,0,0
SLI_RS10015,0.0053,0,NA
SLI_RS10020,0,0.0345,0
SLI_RS10030,0.0082,0,NA
SLI_RS10040,0,0.017,0
SLI_RS10055,0.0009,0.0279,0.0335
SLI_RS10085,0.0048,0.00275,1.73034
SLI_RS10095,0.0088,0.0071,1.22778
SLI_RS10105,0.0052,0.0051,1.03313
SLI_RS10125,0,0,0
SLI_RS10135,0,0,0
SLI_RS10140,0,0.0325,0
SLI_RS10145,0.0013,0.01285,0.05128
SLI_RS10150,0.00335,0.0065,NA
SLI_RS10160,0,0.0615,0
SLI_RS10165,0.0021,0,NA
SLI_RS10170,0.002,0.0118,0.17351
SLI_RS10175,0,0.0492,0
SLI_RS10180,0,0.02012,0
SLI_RS10185,0.0008,0.0246,0.03291
SLI_RS10190,0.0027,0.0022,1.23797
SLI_RS10195,0.0063,0.0125,0.50225
SLI_RS10205,0.0038,0.0047,0.81937
SLI_RS10210,0.00085,0.00755,0.057775
SLI_RS10215,0,0,0
SLI_RS10220,0,0.0117,0
SLI_RS10225,0.0118,0,NA
SLI_RS10250,0.0025,0,NA
SLI_RS10255,0.0009,0,NA
SLI_RS10265,0,0.0263,0
SLI_RS10270,0,0,0
SLI_RS10275,0,0,0
SLI_RS10285,0,0,0
SLI_RS10290,0,0,0
SLI_RS10295,0.0048,0.0247,0.19446
SLI_RS10305,0.0042,0.0008,5.23871
SLI_RS10320,0,0.0233,0
SLI_RS10325,0.0009,0.00295,NA
SLI_RS10330,0.0018,0.014,0.12639
SLI_RS10335,0,0.0315,0
SLI_RS10340,0.0009,0.0256,0.021575
SLI_RS10350,0,0,0
SLI_RS10355,0,0.0098,0
SLI_RS10365,0,0,0
SLI_RS10375,0,0.0229,0
SLI_RS10385,0.0012,0.0166,0.07292
SLI_RS10395,0.00095,0.1028,0.005515
SLI_RS10415,0.001,0.0027,0.38606
SLI_RS10450,0.0053,0.0077,0.68805
SLI_RS10455,0.0052,0.03325,0.19859
SLI_RS10470,0.004,0.04115,1.227675
SLI_RS10475,0,0,0
SLI_RS10480,0.0039,0,NA
SLI_RS10490,0,0.0013,0
SLI_RS10510,0,0.0209,0
SLI_RS10515,0,0,0
SLI_RS10535,0,0.0256,0
SLI_RS10545,0.0018,0,NA
SLI_RS10555,0.0036,0.0023,1.56805
SLI_RS10565,0,0.0001,0
SLI_RS10570,0,0.0086,0
SLI_RS10575,0,0.0097,0
SLI_RS10580,0,0.0797,0
SLI_RS10590,0.0019,0.0052,NA
SLI_RS10600,0.0012,0,NA
SLI_RS10605,0,0.0079,0
SLI_RS10610,0,0.0195,0
SLI_RS10625,0.0139,0.0078,1.78323
SLI_RS10630,0.001,0.0866,0.01111
SLI_RS10635,0.0023,0.0025,0.93177
SLI_RS10645,0,0.0348,0
SLI_RS10655,0.0011,0,NA
SLI_RS10665,0,0,0
SLI_RS10670,0.001475,0.00155,NA
SLI_RS10680,0.0052,0.0023,2.269
SLI_RS10690,0.0011,0.0148,0.07405
SLI_RS10700,0.0007,0.0047,0.15028
SLI_RS10705,0,0.0106,0
SLI_RS10710,0,0,0
SLI_RS10715,0,0.023825,0
SLI_RS10720,0,0.0061,0
SLI_RS10730,0.0012,0.0076,0.16213
SLI_RS10740,0.002,0.0106,0.18951
SLI_RS10755,0.0079,0,NA
SLI_RS10780,0,0,0
SLI_RS10790,0,0.01615,0
SLI_RS10795,0,0,0
SLI_RS10800,0.0018,0.0069,0.26138
SLI_RS10805,0,0.0041,0
SLI_RS10810,0,0,0
SLI_RS10820,0.0016,0.0076,0.21397
SLI_RS10825,0.0024,0.008,0.30631
SLI_RS10845,0.0029,0.037,0.07929
SLI_RS10855,0.0012,0,NA
SLI_RS10910,0.0068,0,NA
SLI_RS10915,0.0022,0.03905,NA
SLI_RS10940,0.0031,0.0073,0.42069
SLI_RS10950,0.0052,0.0068,NA
SLI_RS10955,0.0012,0.01645,NA
SLI_RS10960,0.0278,0.0123,2.2558
SLI_RS10970,0.0048,0,NA
SLI_RS10975,0.0049,0.006,0.82195
SLI_RS10980,0.0085,0.0029,2.95568
SLI_RS10985,0.004675,0.00745,NA
SLI_RS10990,0.0077,0.0991,0.07728
SLI_RS10995,0,0,0
SLI_RS11000,0.0029,0.0029,0.98799
SLI_RS11010,0.00396666666666667,0.00196666666666667,NA
SLI_RS11015,0.0036,0.0023,1.55025
SLI_RS11020,0,0.0055,0
SLI_RS11025,0,0.0014,0
SLI_RS11030,0,0.0183,0
SLI_RS11040,0,0.0028,0
SLI_RS11055,0.00325,0,NA
SLI_RS11070,0.00165,0.04845,0.090935
SLI_RS11075,0,0.056,0
SLI_RS11085,0,0,0
SLI_RS11095,0.00155,0,NA
SLI_RS11105,0.0007,0.0384,0.01911
SLI_RS11115,0,0,0
SLI_RS11120,0,0,0
SLI_RS11125,0,0.0329,0
SLI_RS11135,0,0.1375,0
SLI_RS11150,0.0101,0,NA
SLI_RS11155,0.0013,0.02025,0.258405
SLI_RS11165,0.0017,0.0151,0.11219
SLI_RS11170,0,0,0
SLI_RS11175,0,0.0422,0
SLI_RS11180,0.0125,0.01165,NA
SLI_RS11190,0.0069,0,NA
SLI_RS11195,0.0165,0.01,1.64862
SLI_RS11205,0,0,0
SLI_RS11210,0.00215,0.0036,0.29767
SLI_RS11215,0.0037,0.0375,0.09893
SLI_RS11220,0.0011,0.016,0.06796
SLI_RS11225,0.005,0,NA
SLI_RS11230,0,0,0
SLI_RS11260,0.0023,0,NA
SLI_RS11265,0.00163333333333333,0.0095,0.438946666666667
SLI_RS11270,0.00175,0.0018,0.490315
SLI_RS11275,0.0047,0,NA
SLI_RS11295,0.003,0.0562,0.05399
SLI_RS11300,0.00296666666666667,0.0013,NA
SLI_RS11310,0.0015,0,NA
SLI_RS11315,0.0016,0,NA
SLI_RS11325,0.0007,0.00386666666666667,0.285523333333333
SLI_RS11330,0.00175,0.0201,NA
SLI_RS11340,0.0035,0,NA
SLI_RS11350,0,0.0145,0
SLI_RS11355,0.0017,0.012,0.14131
SLI_RS11360,0.0057,0.0064,0.88865
SLI_RS11365,0.0013,0.1768,0.00711
SLI_RS11375,0,0,0
SLI_RS11380,0.00425,0,NA
SLI_RS11385,0.0021,0.0181,0.1171
SLI_RS11395,0.0032,0.02425,NA
SLI_RS11405,0.0024,0,NA
SLI_RS11415,0,0,0
SLI_RS11420,0.0025,0.0471,0.05268
SLI_RS11430,0.0057,0,NA
SLI_RS11450,0,0.0389,0
SLI_RS11460,0.0034,0,NA
SLI_RS11480,0.0059,0,NA
SLI_RS11490,0.0025,0,NA
SLI_RS11495,0.000333333333333333,0.00656666666666667,0.01746
SLI_RS11510,0,0.0037,0
SLI_RS11520,0.0055,0,NA
SLI_RS11525,0.103033333333333,0.0585,1.70127666666667
SLI_RS11530,0.0141,0.0075,1.87073
SLI_RS11535,0.0543,0.0507,1.07089
SLI_RS11540,0.0071,0.0045,1.57295
SLI_RS11550,0.01135,0.03995,NA
SLI_RS11555,0.00715,0.0085,NA
SLI_RS11560,0.0055,0.0101,0.54246
SLI_RS11575,0.0022,0.0283,0.07858
SLI_RS11585,0.0027,0,NA
SLI_RS11590,0.0073,0.0073,1.0081
SLI_RS11595,0,0,0
SLI_RS11600,0.0013,0.00703333333333333,NA
SLI_RS11605,0,0,0
SLI_RS11610,0.001,0.0389,0.0268
SLI_RS11615,0.005,0.00655,0.79812
SLI_RS11620,0.0016,0.0318,0.04988
SLI_RS11630,0,0,0
SLI_RS11635,0.0073,0.0102,0.71453
SLI_RS11640,0,0,0
SLI_RS11650,0.0023,0,NA
SLI_RS11655,0.0055,0.00976666666666667,NA
SLI_RS11665,0.0031,0.0022,1.425
SLI_RS11680,0.00195,0.0255,NA
SLI_RS11685,0.0026,0.0284,0.09199
SLI_RS11695,0.001,0.019,0.05295
SLI_RS11705,0,0,0
SLI_RS11710,0,0,0
SLI_RS11720,0,0.00005,0
SLI_RS11725,0,0,0
SLI_RS11735,0,0,0
SLI_RS11755,0.0023,0.0041,0.55398
SLI_RS11760,0.00266666666666667,0.0287666666666667,NA
SLI_RS11765,0.0062,0.007,0.88894
SLI_RS11770,0.0074,0.0036,2.01874
SLI_RS11810,0.028,0.2667,0.10484
SLI_RS11815,0.0284,0.0055,5.19842
SLI_RS11825,0,0,0
SLI_RS11830,0.001,0,NA
SLI_RS11835,0,0,0
SLI_RS11855,0.00313333333333333,0.0292333333333333,NA
SLI_RS11860,0.00625,0.02495,NA
SLI_RS11870,0.0013,0.0026,0.49604
SLI_RS11875,0.0027,0,NA
SLI_RS11880,0.0061,0,NA
SLI_RS11885,0.0018,0,NA
SLI_RS11890,0.0008,0,NA
SLI_RS11895,0.0009,0,NA
SLI_RS11900,0.0013,0.0062,0.2107
SLI_RS11925,0.0007,0.03625,0.04664
SLI_RS11930,0.0053,0.1092,0.04827
SLI_RS11935,0.0022,0.0486,0.0446
SLI_RS11940,0.0043,0.0172,0.2497
SLI_RS11950,0.0027,0.032,0.08299
SLI_RS11955,0,0.0433,0
SLI_RS11970,0,0.0712,0
SLI_RS11985,0,0.0399,0
SLI_RS11990,0,0,0
SLI_RS12010,0.01055,0,NA
SLI_RS12020,0,0.0026,0
SLI_RS12030,0,0.0687,0
SLI_RS12040,0.0034,0,NA
SLI_RS12050,0.0032,0.0055,0.57822
SLI_RS12065,0.00238,0.02154,NA
SLI_RS12075,0.0012,0.0029,0.40477
SLI_RS12080,0,0.0031,0
SLI_RS12090,0,0.0535,0
SLI_RS12095,0,0.0087,0
SLI_RS12100,0.0118,0.0037,3.1778
SLI_RS12105,0.00425,0.0047,0.931415
SLI_RS12125,0.003,0.0304,0.09977
SLI_RS12140,0.00755,0,NA
SLI_RS12155,0.0016,0,NA
SLI_RS12180,0,0,0
SLI_RS12195,0,0,0
SLI_RS12205,0.0036,0.0024,1.50735
SLI_RS12215,0,0,0
SLI_RS12220,0.0012,0.0698,0.02309
SLI_RS12225,0,0.0065,0
SLI_RS12230,0.0029,0,NA
SLI_RS12250,0.0029,0,NA
SLI_RS12260,0.0024,0.0056,0.43234
SLI_RS12270,0.0029,0.0033,0.89491
SLI_RS12275,0.0005,0.0223,0.02448
SLI_RS12295,0.0026,0,NA
SLI_RS12300,0.002,0.0054,0.36909
SLI_RS12305,0.0052,0.0037,1.39418
SLI_RS12310,0.01965,0,NA
SLI_RS12315,0.0028,0.0036,0.76977
SLI_RS12320,0,0.0055,0
SLI_RS12325,0.0016,0,NA
SLI_RS12330,0,0.0733,0
SLI_RS12335,0,0.0098,0
SLI_RS12340,0.0028,0,NA
SLI_RS12345,0.0029,0,NA
SLI_RS12350,0.0033,0.0016,1.03853
SLI_RS12355,0.0023,0.0074,0.31023
SLI_RS12360,0.0072,0.0045,1.61271
SLI_RS12370,0.0023,0.0028,0.80955
SLI_RS12390,0,0,0
SLI_RS12395,0.0021,0,NA
SLI_RS12400,0,0,0
SLI_RS12415,0,0.0446,0
SLI_RS12445,0,0,0
SLI_RS12450,0.0009,0.0157,0.05515
SLI_RS12455,0.0034,0,NA
SLI_RS12470,0.0023,0.0384,0.05956
SLI_RS12480,0.0023,0,NA
SLI_RS12490,0,0,0
SLI_RS12495,0.0062,0.0023,2.65309
SLI_RS12505,0,0,0
SLI_RS12510,0.0076,0.0044,1.72186
SLI_RS12515,0.0014,0,NA
SLI_RS12520,0.0037,0.0067,0.55559
SLI_RS12525,0,0.0244,0
SLI_RS12530,0.0008,0.03085,0.013355
SLI_RS12540,0.0027,0,NA
SLI_RS12545,0.005,0.0021,2.4405
SLI_RS12550,0,0.0078,0
SLI_RS12555,0,0.0344,0
SLI_RS12565,0.0005,0.0288,0.01795
SLI_RS12570,0,0,0
SLI_RS12575,0.0011,0.0725,0.01555
SLI_RS12590,0,0.0571,0
SLI_RS12595,0,0.0381,0
SLI_RS12605,0.0006,0.0453,0.01304
SLI_RS12620,0.0015,0.017,NA
SLI_RS12625,0,0.0001,0
SLI_RS12630,0,0.0018,0
SLI_RS12640,0.0011,0.0022,0.51503
SLI_RS12650,0.0012,0,NA
SLI_RS12660,0,0,0
SLI_RS12665,0.0038,0.0041,0.9246
SLI_RS12670,0.00585,0.00615,NA
SLI_RS12675,0.0018,0,NA
SLI_RS12680,0.0037,0,NA
SLI_RS12695,0.00135,0.01945,0.0341
SLI_RS12705,0,0.0133,0
SLI_RS12715,0.002,0.0036,0.54521
SLI_RS12730,0.0035,0.0205,0.17218
SLI_RS12735,0.0023,0.0187,0.12125
SLI_RS12740,0.0025,0.0356,0.0696
SLI_RS12745,0,0.0721,0
SLI_RS12755,0.0007,0.0418,0.0162
SLI_RS12765,0,0,0
SLI_RS12770,0,0,0
SLI_RS12775,0,0,0
SLI_RS12780,0,0,0
SLI_RS12795,0,0,0
SLI_RS12800,0,0,0
SLI_RS12805,0,0.0098,0
SLI_RS12820,0,0.027,0
SLI_RS12830,0,0.0199,0
SLI_RS12835,0,0,0
SLI_RS12840,0,0,0
SLI_RS12845,0.0012,0.0489,0.02517
SLI_RS12875,0.0015,0.0215,0.069245
SLI_RS12880,0,0.0302,0
SLI_RS12885,0.0015,0.0187,0.08083
SLI_RS12895,0,0.016,0
SLI_RS12910,0.0053,0,NA
SLI_RS12915,0.0027,0,NA
SLI_RS12920,0,0,0
SLI_RS12925,0,0,0
SLI_RS12930,0,0,0
SLI_RS12945,0,0,0
SLI_RS12950,0.0063,0,NA
SLI_RS12955,0.0011,0.0085,0.12568
SLI_RS12960,0,0,0
SLI_RS12965,0,0.0983,0
SLI_RS12970,0,0.0791,0
SLI_RS12990,0.0036,0.0012,3.03199
SLI_RS13010,0.0036,0.0008,4.74195
SLI_RS13025,0.0043,0.0035,1.2292
SLI_RS13035,0.0004,0.0311,0.01218
SLI_RS13045,0.0013,0.0056,0.2324
SLI_RS13050,0,0.0056,0
SLI_RS13060,0,0.0098,0
SLI_RS13065,0.000333333333333333,0.0107,0.0108833333333333
SLI_RS13070,0.0044,0,NA
SLI_RS13075,0.0008,0.0451,0.01805
SLI_RS13095,0.0011,0.0071,0.1561
SLI_RS13100,0.0011,0.0016,0.71125
SLI_RS13115,0.0069,0,NA
SLI_RS13120,0,0.0821,0
SLI_RS13130,0,0.0513,0
SLI_RS13135,0.0004,0.1629,0.00274
SLI_RS13145,0,0,0
SLI_RS13150,0,0.0216,0
SLI_RS13160,0,0.02565,0
SLI_RS13165,0.0008,0.0216,0.03599
SLI_RS13175,0.00286666666666667,0.0141,NA
SLI_RS13185,0,0.00005,0
SLI_RS13190,0,0.0074,0
SLI_RS13205,0.0011,0.006,0.18988
SLI_RS13220,0.0005,0,NA
SLI_RS13225,0.0038,0,NA
SLI_RS13245,0,0,0
SLI_RS13275,0.0054,0,NA
SLI_RS13280,0.0038,0.0036,1.05505
SLI_RS13285,0.0073,0,NA
SLI_RS13295,0,0,0
SLI_RS13300,0,0.0176,0
SLI_RS13305,0.0031,0.0027,1.13061
SLI_RS13310,0.0048,0.0338,0.480625
SLI_RS13315,0.0025,0.0011,2.34297
SLI_RS13325,0.0039,0.0515,0.0757
SLI_RS13330,0.00225,0.0351,0.06503
SLI_RS13335,0.0033,0.02795,0.24351
SLI_RS13340,0.0027,0.0207,0.1283
SLI_RS13345,0,0,0
SLI_RS13350,0.0016,0.0456,0.03567
SLI_RS13355,0.0068,0,NA
SLI_RS13360,0.0095,0,NA
SLI_RS13370,0.0022,0.0521,0.04273
SLI_RS13380,0.0016,0.0021,0.7729
SLI_RS13385,0.006,0,NA
SLI_RS13390,0.0052,0,NA
SLI_RS13395,0.0052,0,NA
SLI_RS13400,0.0046,0.00155,NA
SLI_RS13405,0.0072,0.0143,0.50357
SLI_RS13415,0,0.0048,0
SLI_RS13420,0.0031,0.0024,1.29285
SLI_RS13430,0.0042,0.0026,1.60937
SLI_RS13435,0.0066,0.0058,1.13991
SLI_RS13440,0.001,0,NA
SLI_RS13455,0.0019,0,NA
SLI_RS13460,0,0.0087,0
SLI_RS13475,0.0048,0.0031,1.55598
SLI_RS13480,0.00275,0.01435,NA
SLI_RS13485,0,0,0
SLI_RS13490,0.0332,0.0312,1.06371
SLI_RS13495,0.0064,0.0405,0.15693
SLI_RS13505,0.0047,0.0018,2.56586
SLI_RS13510,0.0196,0.0052,3.76313
SLI_RS13520,0.0008,0.0262,0.03055
SLI_RS13535,0,0.0112,0
SLI_RS13560,0.0012,0.0205,0.05686
SLI_RS13565,0.0051,0.0015,NA
SLI_RS13570,0,0,0
SLI_RS13580,0.0064,0.0076,0.83938
SLI_RS13585,0.0111,0,NA
SLI_RS13590,0.0056,0.0033,1.70037
SLI_RS13600,0.0086,0,NA
SLI_RS13605,0.0023,0,NA
SLI_RS13610,0.0059,0.0157,0.37436
SLI_RS13615,0,0,0
SLI_RS13620,0.00315,0.01965,0.10178
SLI_RS13625,0,0,0
SLI_RS13630,0,0.0057,0
SLI_RS13635,0,0,0
SLI_RS13645,0.0097,0.0171,0.5683
SLI_RS13670,0.002,0,NA
SLI_RS13700,0,0,0
SLI_RS13710,0.0033,0.0103,NA
SLI_RS13715,0.0015,0.0106,0.13746
SLI_RS13725,0.0012,0.0808,0.01537
SLI_RS13745,0.0018,0.0306,0.05961
SLI_RS13755,0.0029,0,NA
SLI_RS13760,0.0007,0.0275,0.02497
SLI_RS13775,0.0032,0.0014,2.32279
SLI_RS13780,0.00493333333333333,0.00433333333333333,NA
SLI_RS13800,0,0.0261,0
SLI_RS13810,0,0.0083,0
SLI_RS13815,0.0011,0.0366,0.03095
SLI_RS13825,0.0015,0.00135,NA
SLI_RS13830,0.0054,0,NA
SLI_RS13835,0.00155,0.0035,NA
SLI_RS13845,0.0013,0.0322,0.03991
SLI_RS13855,0.0041,0.061,0.06782
SLI_RS13860,0.0057,0.0433,0.13078
SLI_RS13865,0.00185,0.0222,NA
SLI_RS13885,0,0.02035,0
SLI_RS13890,0.0015,0.0039,0.37955
SLI_RS13920,0.0009,0.0603,0.01419
SLI_RS13925,0.002625,0.016,NA
SLI_RS13930,0.0038,0.0231,0.16507
SLI_RS13935,0.0002,0.0683333333333333,0.00138
SLI_RS13945,0.00435,0.1111,NA
SLI_RS13950,0.0028,0.382,0.00721
SLI_RS13960,0.0168,0.2638,0.06351
SLI_RS13965,0.002,0.0016,1.27427
SLI_RS13970,0.00503333333333333,0.000666666666666667,NA
SLI_RS13980,0.0065,0,NA
SLI_RS13985,0.0042,0.00515,1.92164
SLI_RS13990,0.0066,0.0021,3.13222
SLI_RS13995,0.01865,0.0034,2.72137
SLI_RS14015,0,0,0
SLI_RS14020,0.0067,0.0026,2.5904
SLI_RS14025,0,0,0
SLI_RS14035,0,0,0
SLI_RS14055,0.003,0,NA
SLI_RS14060,0.001,0.0012,0.42304
SLI_RS14065,0.0014,0.0478,0.0299
SLI_RS14070,0,0.0166,0
SLI_RS14080,0,0,0
SLI_RS14085,0.00065,0.0216,0.053325
SLI_RS14105,0.0019,0,NA
SLI_RS14135,0,0,0
SLI_RS14140,0,0,0
SLI_RS14145,0,0,0
SLI_RS14150,0,0,0
SLI_RS14160,0,0.0273,0
SLI_RS14165,0.0011,0,NA
SLI_RS14170,0,0.0024,0
SLI_RS14175,0,0,0
SLI_RS14180,0,0,0
SLI_RS14185,0.0013,0.0043,0.31425
SLI_RS14190,0.003,0.0026,1.15516
SLI_RS14195,0.0057,0,NA
SLI_RS14200,0.000575,0.008975,NA
SLI_RS14205,0,0,0
SLI_RS14210,0.0039,0,NA
SLI_RS14215,0,0,0
SLI_RS14220,0,0.0348,0
SLI_RS14230,0.00175,0.072,0.092585
SLI_RS14250,0.0214,0.0082,2.60291
SLI_RS14265,0.0508,0.2638,0.19264
SLI_RS14270,0.0431,0.0148,2.90997
SLI_RS14275,0.0101,0.0324,0.15601
SLI_RS14280,0.0035,0,NA
SLI_RS14290,0,0,0
SLI_RS14295,0.00835,0.00155,NA
SLI_RS14300,0.0013,0.0306,0.04357
SLI_RS14305,0.00075,0.018,0.021235
SLI_RS14310,0.0043,0.0272,0.15968
SLI_RS14315,0.0041,0.0094,0.43101
SLI_RS14320,0,0,0
SLI_RS14325,0.0064,0.0083,0.76445
SLI_RS14360,0,0.0123,0
SLI_RS14365,0,0,0
SLI_RS14370,0,0,0
SLI_RS14375,0.0039,0.00403333333333333,NA
SLI_RS14385,0.0052,0.0016,3.26617
SLI_RS14395,0.0015,0,NA
SLI_RS14400,0,0.0023,0
SLI_RS14435,0.0043,0,NA
SLI_RS14440,0.0013,0.0275,0.04815
SLI_RS14445,0.0053,0.0302,0.17589
SLI_RS14450,0.0007,0.01735,0.068665
SLI_RS14455,0.0052,0,NA
SLI_RS14465,0,0.0411,0
SLI_RS14470,0.0066,0.09675,0.51252
SLI_RS14475,0.0076,0.1986,0.03808
SLI_RS14480,0,0,0
SLI_RS14490,0,0,0
SLI_RS14515,0,0,0
SLI_RS14520,0.0099,0.0134,NA
SLI_RS14525,0.0013,0.0269,0.024
SLI_RS14545,0,0.014,0
SLI_RS14560,0,0,0
SLI_RS14565,0.0008,0.0173,0.04734
SLI_RS14570,0.002,0.0029,0.70003
SLI_RS14575,0,0.0167,0
SLI_RS14580,0.0218,0.0557,0.39142
SLI_RS14585,0.00243333333333333,0.0093,NA
SLI_RS14590,0,0.00105,0
SLI_RS14595,0.00205,0.01245,0.082635
SLI_RS14600,0,0.0047,0
SLI_RS14620,0,0.0316,0
SLI_RS14625,0.00435,0.03155,NA
SLI_RS14655,0.000933333333333333,0.03,0.0382133333333333
SLI_RS14675,0.0132,0.0382,0.34705
SLI_RS14695,0,0,0
SLI_RS14700,0.00065,0,NA
SLI_RS14705,0,0.0644,0
SLI_RS14725,0,0,0
SLI_RS14730,0.001,0.01235,0.04025
SLI_RS14735,0.0051,0.0185,0.27557
SLI_RS14745,0,0.0143,0
SLI_RS14750,0,0,0
SLI_RS14760,0.0019,0.0442,0.04281
SLI_RS14770,0.001,0.0043,0.24155
SLI_RS14780,0.00205,0.0054,0.6368
SLI_RS14785,0,0,0
SLI_RS14790,0,0,0
SLI_RS14800,0,0.00496666666666667,0
SLI_RS14810,0,0.0763,0
SLI_RS14850,0.0043,0.01785,1.492435
SLI_RS14855,0.0045,0.0001,46.26248
SLI_RS14860,0,0,0
SLI_RS14865,0.0054,0.0028,1.92289
SLI_RS14875,0.0039,0,NA
SLI_RS14890,0.0093,0.0028,3.28607
SLI_RS14895,0.0137,0.0166,0.82281
SLI_RS14910,0.003,0.00136666666666667,NA
SLI_RS14925,0.0015,0,NA
SLI_RS14930,0.006,0.0822,0.07279
SLI_RS14945,0.0126,0.003,4.23886
SLI_RS14955,0,0.0013,0
SLI_RS14960,0.0009,0.0018,0.47138
SLI_RS14970,0.0002,0.0225,0.0097
SLI_RS14995,0.00143333333333333,0,NA
